,0
241,2084
242,3
243,51
244,333
245,1851
246,105
247,1522
248,936
249,1073
250,1347
251,1830
252,1049
253,673
254,210
255,478
256,129
257,161
258,101
259,1626
260,1310
261,1258
262,2045
263,1599
264,720
265,2013
266,1364
267,1648
268,542
269,26
270,912
271,1827
272,1580
273,90
274,1288
275,725
276,1218
277,1031
278,298
279,2198
280,2056
281,463
282,1206
283,876
284,1907
285,746
286,1312
287,415
288,1516
289,1054
290,1666
291,151
292,608
293,1746
294,2204
295,963
296,1409
297,1955
298,1624
299,1456
300,1889
301,434
302,1322
303,15
304,1597
305,2144
306,1792
307,1316
308,373
309,1294
310,2220
311,2032
312,781
313,1
314,136
315,1635
316,2217
317,1211
318,314
319,2154
320,1656
321,17
322,1120
323,1378
324,677
325,1831
326,1820
327,336
328,162
329,2171
330,330
331,70
332,405
333,120
334,731
335,2054
336,400
337,22
338,379
339,25
340,967
341,706
342,998
343,1072
344,654
345,2086
346,2136
347,2106
348,78
349,2142
350,45
351,717
352,1323
353,992
354,53
355,913
356,2098
357,2237
358,1693
359,1269
360,1939
361,423
362,2035
363,2186
364,1997
365,2109
366,813
367,620
368,74
369,2068
370,702
371,569
372,1747
373,1620
374,523
375,1916
376,1769
377,1987
378,1791
379,2071
380,974
381,696
382,1935
383,1855
384,376
385,2234
386,388
387,224
388,1949
389,1941
390,1339
391,113
392,1828
393,384
394,2096
395,123
396,32
397,8
398,2159
399,1603
400,1684
401,778
402,1961
403,29
404,802
405,1968
406,1592
407,2037
408,1308
409,1776
410,1305
411,291
412,514
413,1277
414,332
415,855
416,1408
417,668
418,688
419,278
420,1488
421,283
422,116
423,1854
424,565
425,550
426,1405
427,153
428,312
429,1163
430,1133
431,158
432,1463
433,545
434,1931
435,2108
436,1711
437,111
438,1742
439,265
440,10
441,383
442,838
443,849
444,1150
445,1502
446,1970
447,1132
448,2195
449,323
450,2167
451,1642
452,2093
453,1131
454,1256
455,193
456,1080
457,315
458,1128
459,1570
460,250
461,2224
462,774
463,1937
464,1494
465,2040
466,892
467,835
468,585
469,1992
470,1588
471,1881
472,2181
473,2210
474,2183
475,2239
476,2008
477,512
478,1485
479,498
480,2143
481,1586
482,959
483,465
484,536
485,1207
486,2226
487,1036
488,115
489,1683
490,1166
491,1514
492,1559
493,575
494,1655
495,188
496,112
497,1434
498,1894
499,331
500,1766
501,2216
502,1201
503,1304
504,2114
505,2110
506,1506
507,170
508,1254
509,1962
510,1027
511,326
512,1171
513,1177
514,1701
515,2164
516,1363
517,1416
518,1833
519,596
520,553
521,146
522,669
523,1761
524,1064
525,259
526,1595
527,1014
528,2048
529,1346
530,1229
531,509
532,1210
533,1492
534,1722
535,1025
536,1020
537,492
538,1845
539,1925
540,681
541,997
542,150
543,1089
544,1028
545,1772
546,114
547,1232
548,73
549,2116
550,1630
551,1553
552,1574
553,1926
554,1395
555,2104
556,144
557,800
558,2113
559,1549
560,2082
561,787
562,1826
563,1543
564,189
565,264
566,169
567,764
568,1148
569,19
570,60
571,1696
572,776
573,48
574,1731
575,758
576,1869
577,564
578,1424
579,1385
580,1629
581,1189
582,43
583,814
584,92
585,1918
586,191
587,2083
588,2007
589,125
590,2061
591,1835
592,300
593,1691
594,1617
595,1233
596,1849
597,985
598,65
599,149
600,1990
601,1152
602,1213
603,1419
604,1268
605,1011
606,1876
607,582
608,2228
609,284
610,1428
611,1965
612,970
613,1950
614,996
615,1267
616,2118
617,317
618,429
619,1713
620,2201
621,554
622,905
623,1085
624,975
625,282
626,689
627,178
628,347
629,40
630,408
631,1468
632,2188
633,753
634,392
635,1501
636,42
637,861
638,1657
639,2095
640,67
641,573
642,1337
643,1825
644,1808
645,1379
646,1437
647,269
648,1455
649,1715
650,313
651,1231
652,11
653,165
654,785
655,1196
656,576
657,649
658,1167
659,815
660,2240
661,772
662,683
663,1414
664,732
665,2172
666,1702
667,493
668,718
669,1623
670,2043
671,2119
672,765
673,698
674,9
675,2233
676,1121
677,2149
678,1331
679,1448
680,1495
681,1531
682,1600
683,1136
684,1665
685,1111
686,2179
687,1732
688,1058
689,1007
690,965
691,920
692,1061
693,1756
694,1034
695,1017
696,1651
697,1883
698,1228
699,1542
700,2034
701,840
702,1330
703,0
704,46
705,253
706,484
707,226
708,367
709,95
710,2177
711,2050
712,969
713,964
714,36
715,1251
716,727
717,2148
718,1382
719,1413
720,1805
721,2190
722,1483
723,641
724,307
725,2021
726,2174
727,1349
728,1844
729,1299
730,177
731,217
732,230
733,1194
734,1707
735,1758
736,1466
737,788
738,1369
739,2187
740,1081
741,1096
742,1097
743,1680
744,309
745,697
746,321
747,186
748,595
749,1205
750,2227
751,473
752,382
753,1815
754,661
755,1029
756,2189
757,667
758,1282
759,241
760,1644
761,2134
762,1026
763,560
764,600
765,396
766,1579
767,638
768,1249
769,767
770,327
771,289
772,56
773,1982
774,1142
775,145
776,1984
777,1724
778,2019
779,2091
780,168
781,2163
782,1612
783,110
784,1637
785,605
786,708
787,782
788,1459
789,397
790,762
791,63
792,1660
793,1819
794,1672
795,845
796,2238
797,2221
798,1071
799,1795
800,591
801,870
802,1138
803,769
804,513
805,1188
806,1101
807,1360
808,607
809,1219
810,1109
811,675
812,2089
813,632
814,2129
815,57
816,1050
817,1242
818,167
819,1005
820,537
821,89
822,956
823,2147
824,1053
825,561
826,976
827,1394
828,1370
829,2182
830,2052
831,704
832,4
833,1518
834,1639
835,1692
836,1643
837,1582
838,130
839,320
840,930
841,916
842,1444
843,1377
844,1440
845,1391
846,1649
847,1223
848,96
849,352
850,1356
851,990
852,322
853,2092
854,526
855,687
856,2005
857,302
858,1564
859,350
860,1576
861,2170
862,1340
863,1704
864,1117
865,1690
866,1055
867,1016
868,656
869,1676
870,179
871,817
872,1619
873,407
874,567
875,1951
876,1477
877,1596
878,2146
879,1083
880,1243
881,1491
882,640
883,856
884,825
885,2065
886,1087
887,1934
888,1784
889,1314
890,923
891,1884
892,192
893,955
894,1040
895,316
896,890
897,1239
898,296
899,1505
900,2203
901,1355
902,308
903,529
904,1551
905,1689
906,494
907,1679
908,197
909,2212
910,195
911,1577
912,2209
913,1209
914,2067
915,1995
916,1590
917,1930
918,220
919,1447
920,1399
921,441
922,2197
923,1842
924,219
925,361
926,2205
927,209
928,1897
929,1199
930,979
931,1179
932,1508
933,304
934,205
935,340
936,1817
937,786
938,200
939,531
940,1710
941,1607
942,1697
943,1115
944,159
945,703
946,251
947,385
948,1814
949,1562
950,2141
951,906
952,1550
953,1646
954,318
955,443
956,858
957,1895
958,1708
959,2044
960,440
961,1176
962,1070
963,846
964,1116
965,908
966,1734
967,2214
968,280
969,1465
970,819
971,909
972,818
973,301
974,910
975,202
976,917
977,1161
978,604
979,1507
980,260
981,279
982,1865
983,184
984,164
985,1227
986,1898
987,1350
988,1443
989,1024
990,297
991,329
992,419
993,2140
994,1566
995,1822
996,24
997,1159
998,1130
999,341
1000,1493
1001,2051
1002,185
1003,362
1004,1521
1005,1338
1006,353
1007,357
1008,1158
1009,852
1010,713
1011,133
1012,1380
1013,507
1014,1442
1015,1938
1016,342
1017,2064
1018,461
1019,1739
1020,1092
1021,1481
1022,1783
1023,1344
1024,1706
1025,1143
1026,393
1027,2038
1028,449
1029,294
1030,1763
1031,1335
1032,214
1033,2003
1034,766
1035,986
1036,822
1037,896
1038,2193
1039,2232
1040,2127
1041,2133
1042,1012
1043,82
1044,854
1045,1126
1046,944
1047,948
1048,277
1049,1458
1050,804
1051,957
1052,54
1053,2001
1054,816
1055,1978
1056,1253
1057,386
1058,2023
1059,6
1060,2073
1061,271
1062,1048
1063,432
1064,196
1065,784
1066,859
1067,1398
1068,2202
1069,378
1070,552
1071,1156
1072,1498
1073,410
1074,1181
1075,1729
1076,1736
1077,710
1078,346
1079,1441
1080,2161
1081,1738
1082,808
1083,2072
1084,2062
1085,1929
1086,2079
1087,1823
1088,2160
1089,425
1090,1103
1091,2059
1092,1067
1093,430
1094,12
1095,1124
1096,1787
1097,147
1098,1781
1099,364
1100,1556
1101,1534
1102,139
1103,1180
1104,1129
1105,246
1106,477
1107,592
1108,1963
1109,227
1110,1359
1111,1244
1112,1389
1113,236
1114,1430
1115,1435
1116,324
1117,715
1118,866
1119,1042
1120,1221
1121,160
1122,1041
1123,444
1124,1003
1125,344
1126,1462
1127,1910
1128,1801
1129,685
1130,14
1131,490
1132,1301
1133,1421
1134,925
1135,391
1136,848
1137,1511
1138,1144
1139,625
1140,1499
1141,2176
1142,983
1143,1285
1144,1896
1145,274
1146,712
1147,355
1148,1065
1149,2041
1150,148
1151,722
1152,1685
1153,1847
1154,1039
1155,1753
1156,617
1157,1184
1158,2215
1159,479
1160,809
1161,1793
1162,1832
1163,1110
1164,459
1165,467
1166,1002
1167,1806
1168,247
1169,1361
1170,476
1171,319
1172,1484
1173,66
1174,1788
1175,1432
1176,1775
1177,738
1178,137
1179,2158
1180,1977
1181,779
1182,305
1183,1127
1184,729
1185,2099
1186,1286
1187,574
1188,487
1189,1610
1190,1548
1191,1088
1192,2185
1193,2087
1194,941
1195,839
1196,1245
1197,841
1198,1654
1199,2126
1200,572
1201,1383
1202,1296
1203,993
1204,798
1205,152
1206,662
1207,865
1208,1183
1209,427
1210,1852
1211,2230
1212,1546
1213,570
1214,1192
1215,652
1216,655
1217,445
1218,1175
1219,613
1220,1381
1221,1125
1222,900
1223,485
1224,1140
1225,124
1226,68
1227,2012
1228,1224
1229,844
1230,842
1231,371
1232,881
1233,853
1234,1062
1235,639
1236,583
1237,571
1238,1417
1239,1257
1240,1063
1241,58
1242,1238
1243,2028
1244,1749
1245,924
1246,880
1247,258
1248,256
1249,37
1250,1969
1251,657
1252,1730
1253,678
1254,1004
1255,2135
1256,895
1257,171
1258,1911
1259,303
1260,794
1261,1280
1262,1375
1263,363
1264,49
1265,1429
1266,1699
1267,1838
1268,85
1269,1667
1270,659
1271,495
1272,1920
1273,1393
1274,745
1275,1182
1276,1605
1277,35
1278,345
1279,723
1280,603
1281,555
1282,21
1283,897
1284,1141
1285,602
1286,885
1287,771
1288,181
1289,937
1290,228
1291,2122
1292,132
1293,1810
1294,292
1295,623
1296,549
1297,1086
1298,978
1299,143
1300,1145
1301,872
1302,676
1303,1857
1304,18
1305,693
1306,1589
1307,328
1308,1748
1309,1573
1310,39
1311,1744
1312,1527
1313,1520
1314,1809
1315,2151
1316,239
1317,672
1318,1922
1319,589
1320,2017
1321,2097
1322,1122
1323,2031
1324,546
1325,594
1326,1993
1327,615
1328,541
1329,1960
1330,1105
1331,2128
1332,1000
1333,1973
1334,1975
1335,1234
1336,527
1337,950
1338,631
1339,94
1340,2015
1341,1539
1342,1981
1343,252
1344,837
1345,1279
1346,1678
1347,665
1348,901
1349,2077
1350,587
1351,752
1352,949
1353,1661
1354,1914
1355,980
1356,1334
1357,2018
1358,1519
1359,2024
1360,1162
1361,984
1362,1407
1363,535
1364,645
1365,1966
1366,580
1367,1247
1368,433
1369,903
1370,962
1371,255
1372,621
1373,945
1374,1497
1375,821
1376,826
1377,1674
1378,1976
1379,914
1380,973
1381,2178
1382,1509
1383,50
1384,508
1385,1513
1386,1216
1387,740
1388,755
1389,1802
1390,1594
1391,760
1392,922
1393,883
1394,1945
1395,735
1396,783
1397,886
1398,1015
1399,1287
1400,1745
1401,79
1402,1273
1403,929
1404,450
1405,52
1406,306
1407,1943
1408,325
1409,1289
1410,1627
1411,1427
1412,1790
1413,413
1414,2218
1415,563
1416,447
1417,2125
1418,1351
1419,1917
1420,2029
1421,1888
1422,721
1423,266
1424,1123
1425,431
1426,851
1427,2058
1428,1259
1429,935
1430,579
1431,1662
1432,1800
1433,2016
1434,439
1435,343
1436,2075
1437,1764
1438,547
1439,1045
1440,1581
1441,47
1442,960
1443,1035
1444,2078
1445,1773
1446,1174
1447,972
1448,2196
1449,593
1450,1164
1451,982
1452,34
1453,1078
1454,1043
1455,952
1456,618
1457,1944
1458,234
1459,1275
1460,1263
1461,1812
1462,231
1463,517
1464,630
1465,1311
1466,1967
1467,244
1468,1853
1469,86
1470,100
1471,416
1472,1496
1473,1265
1474,1608
1475,1059
1476,686
1477,20
1478,1402
1479,1373
1480,926
1481,1367
1482,126
1483,743
1484,1266
1485,933
1486,1545
1487,927
1488,337
1489,1709
1490,939
1491,1634
1492,1879
1493,262
1494,751
1495,1915
1496,1569
1497,1325
1498,862
1499,1670
1500,1668
1501,828
1502,1721
1503,1114
1504,2121
1505,263
1506,824
1507,1094
1508,1798
1509,1797
1510,190
1511,1262
1512,1195
1513,1585
1514,299
1515,699
1516,1770
1517,84
1518,1904
1519,811
1520,1151
1521,1601
1522,1720
1523,1303
1524,500
1525,121
1526,832
1527,398
1528,155
1529,584
1530,1309
1531,1816
1532,207
1533,648
1534,351
1535,1093
1536,237
1537,932
1538,174
1539,1403
1540,1541
1541,1137
1542,940
1543,520
1544,245
1545,1013
1546,628
1547,135
1548,16
1549,768
1550,456
1551,1102
1552,609
1553,878
1554,1306
1555,1100
1556,562
1557,454
1558,690
1559,733
1560,739
1561,1090
1562,568
1563,107
1564,1292
1565,775
1566,2219
1567,108
1568,1714
1569,1874
1570,692
1571,409
1572,1741
1573,201
1574,1165
1575,61
1576,438
1577,1474
1578,2192
1579,1118
1580,1453
1581,1169
1582,522
1583,2194
1584,1276
1585,62
1586,1989
1587,2145
1588,663
1589,525
1590,389
1591,1980
1592,847
1593,510
1594,1079
1595,335
1596,911
1597,728
1598,1512
1599,1705
1600,2011
1601,1226
1602,1022
1603,1358
1604,483
1605,194
1606,921
1607,636
1608,1060
1609,658
1610,2112
1611,1659
1612,988
1613,140
1614,91
1615,1568
1616,166
1617,1986
1618,666
1619,134
1620,1912
1621,1565
1622,1864
1623,1563
1624,370
1625,2168
1626,442
1627,1283
1628,730
1629,1533
1630,1958
1631,1538
1632,1906
1633,1099
1634,118
1635,2000
1636,789
1637,141
1638,1862
1639,1146
1640,1057
1641,1804
1642,633
1643,254
1644,742
1645,1875
1646,671
1647,551
1648,1752
1649,229
1650,1517
1651,102
1652,381
1653,1687
1654,2207
1655,187
1656,7
1657,2070
1658,106
1659,156
1660,2211
1661,69
1662,2074
1663,1789
1664,1972
1665,2105
1666,2200
1667,87
1668,2010
1669,223
1670,2100
1671,2103
1672,176
1673,2222
1674,293
1675,2225
1676,2014
1677,1755
1678,1824
1679,2242
1680,1281
1681,1021
1682,457
1683,1552
1684,360
1685,1255
1686,1560
1687,850
1688,1038
1689,586
1690,919
1691,1571
1692,734
1693,904
1694,448
1695,538
1696,946
1697,1278
1698,446
1699,1489
1700,566
1701,1663
1702,1658
1703,374
1704,898
1705,810
1706,1326
1707,1530
1708,1107
1709,460
1710,961
1711,1412
1712,1023
1713,1890
1714,506
1715,1313
1716,1295
1717,1272
1718,1009
1719,1723
1720,154
1721,1418
1722,726
1723,590
1724,714
1725,694
1726,81
1727,1119
1728,418
1729,83
1730,884
1731,2047
1732,1471
1733,707
1734,642
1735,1274
1736,128
1737,670
1738,1297
1739,1751
1740,1948
1741,369
1742,1694
1743,466
1744,232
1745,295
1746,1638
1747,1271
1748,481
1749,691
1750,1345
1751,1197
1752,469
1753,2152
1754,1019
1755,1584
1756,501
1757,1882
1758,242
1759,1735
1760,1160
1761,1008
1762,1885
1763,104
1764,1614
1765,1887
1766,627
1767,354
1768,394
1769,833
1770,836
1771,1410
1772,2137
1773,424
1774,1902
1775,1900
1776,406
1777,1836
1778,1451
1779,2173
1780,1490
1781,1880
1782,414
1783,1878
1784,417
1785,1357
1786,426
1787,1320
1788,1260
1789,387
1790,359
1791,989
1792,1010
1793,1191
1794,1190
1795,747
1796,530
1797,1716
1798,2101
1799,339
1800,716
1801,2039
1802,1695
1803,2049
1804,709
1805,311
1806,1084
1807,2057
1808,2066
1809,1673
1810,1214
1811,1762
1812,830
1813,653
1814,1298
1815,1956
1816,806
1817,1290
1818,1401
1819,622
1820,435
1821,482
1822,1636
1823,966
1824,1510
1825,1032
1826,348
1827,1046
1828,72
1829,953
1830,93
1831,1307
1832,1863
1833,1932
1834,894
1835,453
1836,1919
1837,474
1838,1044
1839,172
1840,211
1841,981
1842,1909
1843,2004
1844,2111
1845,2002
1846,1999
1847,208
1848,1212
1849,1913
1850,2241
1851,127
1852,372
1853,2162
1854,71
1855,38
1856,1446
1857,741
1858,2156
1859,792
1860,1728
1861,647
1862,248
1863,390
1864,803
1865,1743
1866,366
1867,1621
1868,1583
1869,759
1870,1768
1871,1535
1872,1523
1873,1846
1874,1850
1875,543
1876,796
1877,1149
1878,1261
1879,1270
1880,1487
1881,2022
1882,651
1883,1470
1884,534
1885,1478
1886,660
1887,1185
1888,1765
1889,951
1890,1717
1891,261
1892,458
1893,597
1894,411
1895,1236
1896,428
1897,548
1898,1868
1899,1068
1900,1098
1901,1069
1902,275
1903,1877
1904,122
1905,891
1906,598
1907,791
1908,524
1909,221
1910,222
1911,1567
1912,2088
1913,2235
1914,1482
1915,1767
1916,773
1917,2123
1918,2085
1919,2102
1920,1066
1921,1899
1922,212
1923,1760
1924,1936
1925,1203
1926,790
1927,599
1928,1222
1929,1558
1930,486
1931,968
1932,1246
1933,1940
1934,2009
1935,496
1936,1404
1937,1777
1938,77
1939,1076
1940,1390
1941,1420
1942,1633
1943,1348
1944,1703
1945,451
1946,1449
1947,1450
1948,1147
1949,338
1950,1905
1951,1445
1952,1572
1953,198
1954,831
1955,1921
1956,684
1957,2223
1958,820
1959,468
1960,1479
1961,44
1962,756
1963,1106
1964,1861
1965,103
1966,711
1967,157
1968,1411
1969,888
1970,215
1971,2036
1972,412
1973,1631
1974,805
1975,1818
1976,680
1977,452
1978,616
1979,204
1980,578
1981,2229
1982,532
1983,1991
1984,705
1985,1618
1986,2006
1987,1867
1988,823
1989,626
1990,59
1991,76
1992,472
1993,1785
1994,1971
1995,1452
1996,1821
1997,1422
1998,502
1999,812
2000,2166
2001,1554
2002,1891
2003,1215
2004,1342
2005,2231
2006,1436
2007,1700
2008,276
2009,1354
2010,1056
2011,218
2012,233
2013,1841
2014,1371
2015,1682
2016,1681
2017,1439
2018,462
2019,1757
2020,793
2021,464
2022,516
2023,834
2024,109
2025,763
2026,977
2027,358
2028,497
2029,267
2030,971
2031,1198
2032,1856
2033,799
2034,777
2035,290
2036,1866
2037,2094
2038,1848
2039,2080
2040,614
2041,1112
2042,119
2043,761
2044,624
2045,380
2046,540
2047,2026
2048,471
2049,1640
2050,1154
2051,97
2052,2131
2053,650
2054,942
2055,2124
2056,1664
2057,1998
2058,1829
2059,1873
2060,1947
2061,268
2062,1540
2063,1536
2064,511
2065,1208
2066,368
2067,356
2068,1384
2069,700
2070,737
2071,138
2072,557
2073,612
2074,504
2075,64
2076,503
2077,539
2078,1606
2079,1362
2080,80
2081,1352
2082,629
2083,213
2084,943
2085,1908
2086,947
2087,2120
2088,682
2089,634
2090,938
2091,1840
2092,637
2093,795
2094,270
2095,664
2096,1786
2097,1480
2098,1475
2099,402
2100,403
2101,635
2102,860
2103,864
2104,2165
2105,879
2106,882
2107,2115
2108,1725
2109,1075
2110,889
2111,863
2112,1293
2113,1903
2114,1248
2115,1291
2116,521
2117,1615
2118,1030
2119,1712
2120,1225
2121,1202
2122,288
2123,1959
2124,287
2125,1204
2126,748
2127,750
2128,310
2129,1108
2130,2107
2131,1284
2132,887
2133,873
2134,2081
2135,1368
2136,1632
2137,954
2138,1178
2139,2117
2140,1457
2141,1587
2142,1091
2143,1464
2144,1168
2145,1613
2146,2060
2147,505
2148,1476
2149,931
2150,1155
2151,1892
2152,2069
2153,744
2154,1332
2155,1933
2156,869
2157,1733
2158,877
2159,1650
2160,1557
2161,1598
2162,1264
2163,770
2164,1726
2165,749
2166,1924
2167,2090
2168,1500
2169,2020
2170,375
2171,1555
2172,1529
2173,1774
2174,918
2175,1688
2176,470
2177,1104
2178,1609
2179,1336
2180,1645
2181,285
2182,1415
2183,1871
2184,1870
2185,404
2186,857
2187,528
2188,1813
2189,1602
2190,422
2191,867
2192,2169
2193,868
2194,1628
2195,519
2196,281
2197,780
2198,1625
2199,1698
2200,273
2201,1622
2202,2053
2203,1954
2204,1157
2205,1173
2206,1187
2207,1200
2208,518
2209,1217
2210,601
2211,611
2212,994
2213,515
2214,499
2215,182
2216,1750
2217,98
2218,544
2219,1952
2220,1927
2221,1779
2222,1780
2223,401
2224,1431
2225,1426
2226,1406
2227,1392
2228,2042
2229,1859
2230,2150
2231,436
2232,899
2233,556
2234,88
2235,1946
2236,2033
2237,1652
2238,1544
2239,2138
2240,1858
2241,1718
2242,1473
