,org:resource,lifecycle:transition,concept:name,time:timestamp,REG_DATE,case:concept:name,Request loan amount,Case length in calendar days,activity_count,average_cancellation,average_resource,bounded_existence_O_ACCEPTED,four_eye_principle_O_CREATED_O_ACCEPTED
275,10972.0,COMPLETE,Approve loan request,2011-10-27 09:17:53,2011-10-01 10:37:39.362000+02:00,173718,15000,25.0,9,1,3,0,0
350,11203.0,COMPLETE,Loan requested,2011-10-01 15:40:08,2011-10-01 12:36:08.943000+02:00,173730,15000,19.0,5,0,3,0,0
352,11203.0,COMPLETE,Create loan offer,2011-10-01 15:40:09,2011-10-01 12:36:08.943000+02:00,173730,15000,19.0,5,0,3,0,0
353,11203.0,COMPLETE,Sent loan offer to client,2011-10-01 15:40:10,2011-10-01 12:36:08.943000+02:00,173730,15000,19.0,5,0,3,0,0
371,11029.0,COMPLETE,Receive documents from client,2011-10-14 10:21:08,2011-10-01 12:36:08.943000+02:00,173730,15000,19.0,5,0,3,0,0
409,10972.0,COMPLETE,Approve loan request,2011-10-21 09:08:14,2011-10-01 12:36:08.943000+02:00,173730,15000,19.0,5,0,3,0,0
431,11203.0,COMPLETE,Loan requested,2011-10-01 16:05:26,2011-10-01 13:01:58.813000+02:00,173736,15000,16.0,14,2,6,0,0
432,11203.0,COMPLETE,Create loan offer,2011-10-01 16:05:27,2011-10-01 13:01:58.813000+02:00,173736,15000,16.0,14,2,6,0,0
433,11203.0,COMPLETE,Sent loan offer to client,2011-10-01 16:05:27,2011-10-01 13:01:58.813000+02:00,173736,15000,16.0,14,2,6,0,0
437,10982.0,COMPLETE,Loan requested,2011-10-04 12:59:20,2011-10-01 13:01:58.813000+02:00,173736,15000,16.0,14,2,6,0,0
438,10982.0,COMPLETE,Cancel loan request,2011-10-04 12:59:20,2011-10-01 13:01:58.813000+02:00,173736,15000,16.0,14,2,6,0,0
439,10982.0,COMPLETE,Create loan offer,2011-10-04 12:59:21,2011-10-01 13:01:58.813000+02:00,173736,15000,16.0,14,2,6,0,0
440,10982.0,COMPLETE,Sent loan offer to client,2011-10-04 12:59:21,2011-10-01 13:01:58.813000+02:00,173736,15000,16.0,14,2,6,0,0
444,10899.0,COMPLETE,Receive documents from client,2011-10-10 13:33:58,2011-10-01 13:01:58.813000+02:00,173736,15000,16.0,14,2,6,0,0
457,11169.0,COMPLETE,Loan requested,2011-10-13 11:36:52,2011-10-01 13:01:58.813000+02:00,173736,15000,16.0,14,2,6,0,0
458,11169.0,COMPLETE,Cancel loan request,2011-10-13 11:36:52,2011-10-01 13:01:58.813000+02:00,173736,15000,16.0,14,2,6,0,0
459,11169.0,COMPLETE,Create loan offer,2011-10-13 11:36:53,2011-10-01 13:01:58.813000+02:00,173736,15000,16.0,14,2,6,0,0
460,11169.0,COMPLETE,Sent loan offer to client,2011-10-13 11:36:53,2011-10-01 13:01:58.813000+02:00,173736,15000,16.0,14,2,6,0,0
466,11029.0,COMPLETE,Receive documents from client,2011-10-18 10:20:36,2011-10-01 13:01:58.813000+02:00,173736,15000,16.0,14,2,6,0,0
470,10809.0,COMPLETE,Approve loan request,2011-10-18 12:01:28,2011-10-01 13:01:58.813000+02:00,173736,15000,16.0,14,2,6,0,0
485,11000.0,COMPLETE,Loan requested,2011-10-01 15:56:39,2011-10-01 13:12:58.663000+02:00,173739,10000,13.0,5,0,3,0,0
487,11000.0,COMPLETE,Create loan offer,2011-10-01 15:56:40,2011-10-01 13:12:58.663000+02:00,173739,10000,13.0,5,0,3,0,0
488,11000.0,COMPLETE,Sent loan offer to client,2011-10-01 15:56:40,2011-10-01 13:12:58.663000+02:00,173739,10000,13.0,5,0,3,0,0
496,11029.0,COMPLETE,Receive documents from client,2011-10-11 10:19:12,2011-10-01 13:12:58.663000+02:00,173739,10000,13.0,5,0,3,0,0
518,10629.0,COMPLETE,Approve loan request,2011-10-14 16:22:47,2011-10-01 13:12:58.663000+02:00,173739,10000,13.0,5,0,3,0,0
629,11111.0,COMPLETE,Loan requested,2011-10-01 16:49:59,2011-10-01 14:14:39.442000+02:00,173751,10000,9.0,5,0,3,0,0
630,11111.0,COMPLETE,Create loan offer,2011-10-01 16:50:00,2011-10-01 14:14:39.442000+02:00,173751,10000,9.0,5,0,3,0,0
631,11111.0,COMPLETE,Sent loan offer to client,2011-10-01 16:50:01,2011-10-01 14:14:39.442000+02:00,173751,10000,9.0,5,0,3,0,0
635,10899.0,COMPLETE,Receive documents from client,2011-10-07 12:40:18,2011-10-01 14:14:39.442000+02:00,173751,10000,9.0,5,0,3,0,0
639,10138.0,COMPLETE,Approve loan request,2011-10-11 10:39:30,2011-10-01 14:14:39.442000+02:00,173751,10000,9.0,5,0,3,0,0
696,11019.0,COMPLETE,Loan requested,2011-10-01 16:01:43,2011-10-01 15:15:17.454000+02:00,173760,32000,12.0,5,0,3,0,0
697,11019.0,COMPLETE,Create loan offer,2011-10-01 16:01:44,2011-10-01 15:15:17.454000+02:00,173760,32000,12.0,5,0,3,0,0
698,11019.0,COMPLETE,Sent loan offer to client,2011-10-01 16:01:44,2011-10-01 15:15:17.454000+02:00,173760,32000,12.0,5,0,3,0,0
706,11049.0,COMPLETE,Receive documents from client,2011-10-11 11:01:37,2011-10-01 15:15:17.454000+02:00,173760,32000,12.0,5,0,3,0,0
713,10972.0,COMPLETE,Approve loan request,2011-10-14 15:41:03,2011-10-01 15:15:17.454000+02:00,173760,32000,12.0,5,0,3,0,0
798,11122.0,COMPLETE,Loan requested,2011-10-04 17:37:27,2011-10-01 19:05:56.897000+02:00,173784,5000,41.0,5,0,3,0,0
800,11122.0,COMPLETE,Create loan offer,2011-10-04 17:37:28,2011-10-01 19:05:56.897000+02:00,173784,5000,41.0,5,0,3,0,0
801,11122.0,COMPLETE,Sent loan offer to client,2011-10-04 17:37:28,2011-10-01 19:05:56.897000+02:00,173784,5000,41.0,5,0,3,0,0
811,11049.0,COMPLETE,Receive documents from client,2011-10-17 11:29:14,2011-10-01 19:05:56.897000+02:00,173784,5000,41.0,5,0,3,0,0
882,10609.0,COMPLETE,Approve loan request,2011-11-15 12:50:28,2011-10-01 19:05:56.897000+02:00,173784,5000,41.0,5,0,3,0,0
927,11120.0,COMPLETE,Loan requested,2011-10-03 09:26:10,2011-10-01 19:14:15.425000+02:00,173790,5000,7.0,5,0,3,0,0
929,11120.0,COMPLETE,Create loan offer,2011-10-03 09:26:11,2011-10-01 19:14:15.425000+02:00,173790,5000,7.0,5,0,3,0,0
930,11120.0,COMPLETE,Sent loan offer to client,2011-10-03 09:26:11,2011-10-01 19:14:15.425000+02:00,173790,5000,7.0,5,0,3,0,0
938,10789.0,COMPLETE,Receive documents from client,2011-10-07 12:37:07,2011-10-01 19:14:15.425000+02:00,173790,5000,7.0,5,0,3,0,0
944,10609.0,COMPLETE,Approve loan request,2011-10-10 14:22:35,2011-10-01 19:14:15.425000+02:00,173790,5000,7.0,5,0,3,0,0
957,11120.0,COMPLETE,Loan requested,2011-10-03 14:53:19,2011-10-01 19:32:46.330000+02:00,173793,6000,14.0,5,0,3,0,0
959,11120.0,COMPLETE,Create loan offer,2011-10-03 14:53:20,2011-10-01 19:32:46.330000+02:00,173793,6000,14.0,5,0,3,0,0
960,11120.0,COMPLETE,Sent loan offer to client,2011-10-03 14:53:20,2011-10-01 19:32:46.330000+02:00,173793,6000,14.0,5,0,3,0,0
968,11029.0,COMPLETE,Receive documents from client,2011-10-14 10:08:48,2011-10-01 19:32:46.330000+02:00,173793,6000,14.0,5,0,3,0,0
980,10609.0,COMPLETE,Approve loan request,2011-10-18 11:25:03,2011-10-01 19:32:46.330000+02:00,173793,6000,14.0,5,0,3,0,0
1272,11201.0,COMPLETE,Loan requested,2011-10-03 13:19:45,2011-10-02 11:03:26.714000+02:00,173844,15500,8.0,5,0,3,0,0
1273,11201.0,COMPLETE,Create loan offer,2011-10-03 13:19:47,2011-10-02 11:03:26.714000+02:00,173844,15500,8.0,5,0,3,0,0
1274,11201.0,COMPLETE,Sent loan offer to client,2011-10-03 13:19:47,2011-10-02 11:03:26.714000+02:00,173844,15500,8.0,5,0,3,0,0
1278,11049.0,COMPLETE,Receive documents from client,2011-10-10 10:17:48,2011-10-02 11:03:26.714000+02:00,173844,15500,8.0,5,0,3,0,0
1282,10629.0,COMPLETE,Approve loan request,2011-10-11 14:57:01,2011-10-02 11:03:26.714000+02:00,173844,15500,8.0,5,0,3,0,0
1433,11201.0,COMPLETE,Loan requested,2011-10-03 14:00:45,2011-10-02 13:24:15.505000+02:00,173880,50000,31.0,10,1,5,0,0
1434,11201.0,COMPLETE,Create loan offer,2011-10-03 14:00:46,2011-10-02 13:24:15.505000+02:00,173880,50000,31.0,10,1,5,0,0
1435,11201.0,COMPLETE,Sent loan offer to client,2011-10-03 14:00:46,2011-10-02 13:24:15.505000+02:00,173880,50000,31.0,10,1,5,0,0
1449,11029.0,COMPLETE,Receive documents from client,2011-10-24 11:28:26,2011-10-02 13:24:15.505000+02:00,173880,50000,31.0,10,1,5,0,0
1460,11169.0,COMPLETE,Cancel loan request,2011-10-28 16:27:23,2011-10-02 13:24:15.505000+02:00,173880,50000,31.0,10,1,5,0,0
1461,11169.0,COMPLETE,Loan requested,2011-10-28 16:27:23,2011-10-02 13:24:15.505000+02:00,173880,50000,31.0,10,1,5,0,0
1462,11169.0,COMPLETE,Create loan offer,2011-10-28 16:27:25,2011-10-02 13:24:15.505000+02:00,173880,50000,31.0,10,1,5,0,0
1463,11169.0,COMPLETE,Sent loan offer to client,2011-10-28 16:27:25,2011-10-02 13:24:15.505000+02:00,173880,50000,31.0,10,1,5,0,0
1473,10789.0,COMPLETE,Receive documents from client,2011-11-04 11:46:11,2011-10-02 13:24:15.505000+02:00,173880,50000,31.0,10,1,5,0,0
1477,10138.0,COMPLETE,Approve loan request,2011-11-04 13:09:38,2011-10-02 13:24:15.505000+02:00,173880,50000,31.0,10,1,5,0,0
1552,11202.0,COMPLETE,Loan requested,2011-10-03 10:43:47,2011-10-02 17:18:05.023000+02:00,173913,5500,9.0,5,0,3,0,0
1553,11202.0,COMPLETE,Create loan offer,2011-10-03 10:43:51,2011-10-02 17:18:05.023000+02:00,173913,5500,9.0,5,0,3,0,0
1554,11202.0,COMPLETE,Sent loan offer to client,2011-10-03 10:43:51,2011-10-02 17:18:05.023000+02:00,173913,5500,9.0,5,0,3,0,0
1562,10899.0,COMPLETE,Receive documents from client,2011-10-10 13:51:21,2011-10-02 17:18:05.023000+02:00,173913,5500,9.0,5,0,3,0,0
1568,10809.0,COMPLETE,Approve loan request,2011-10-12 16:00:58,2011-10-02 17:18:05.023000+02:00,173913,5500,9.0,5,0,3,0,0
1626,11180.0,COMPLETE,Loan requested,2011-10-03 15:29:05,2011-10-02 18:30:01.576000+02:00,173928,33000,56.0,9,1,3,0,0
1628,11180.0,COMPLETE,Create loan offer,2011-10-03 15:29:06,2011-10-02 18:30:01.576000+02:00,173928,33000,56.0,9,1,3,0,0
1629,11180.0,COMPLETE,Sent loan offer to client,2011-10-03 15:29:06,2011-10-02 18:30:01.576000+02:00,173928,33000,56.0,9,1,3,0,0
1633,11180.0,COMPLETE,Cancel loan request,2011-10-03 15:30:07,2011-10-02 18:30:01.576000+02:00,173928,33000,56.0,9,1,3,0,0
1634,11180.0,COMPLETE,Loan requested,2011-10-03 15:30:07,2011-10-02 18:30:01.576000+02:00,173928,33000,56.0,9,1,3,0,0
1635,11180.0,COMPLETE,Create loan offer,2011-10-03 15:30:09,2011-10-02 18:30:01.576000+02:00,173928,33000,56.0,9,1,3,0,0
1636,11180.0,COMPLETE,Sent loan offer to client,2011-10-03 15:30:09,2011-10-02 18:30:01.576000+02:00,173928,33000,56.0,9,1,3,0,0
1652,11029.0,COMPLETE,Receive documents from client,2011-10-26 10:23:27,2011-10-02 18:30:01.576000+02:00,173928,33000,56.0,9,1,3,0,0
1726,10972.0,COMPLETE,Approve loan request,2011-11-29 09:27:25,2011-10-02 18:30:01.576000+02:00,173928,33000,56.0,9,1,3,0,0
1782,11119.0,COMPLETE,Loan requested,2011-10-03 18:51:13,2011-10-02 21:08:02.233000+02:00,173940,7000,10.0,5,0,3,0,0
1784,11119.0,COMPLETE,Create loan offer,2011-10-03 18:51:14,2011-10-02 21:08:02.233000+02:00,173940,7000,10.0,5,0,3,0,0
1785,11119.0,COMPLETE,Sent loan offer to client,2011-10-03 18:51:14,2011-10-02 21:08:02.233000+02:00,173940,7000,10.0,5,0,3,0,0
1789,10899.0,COMPLETE,Receive documents from client,2011-10-10 13:48:24,2011-10-02 21:08:02.233000+02:00,173940,7000,10.0,5,0,3,0,0
1815,10138.0,COMPLETE,Approve loan request,2011-10-14 08:30:21,2011-10-02 21:08:02.233000+02:00,173940,7000,10.0,5,0,3,0,0
1948,10971.0,COMPLETE,Loan requested,2011-10-04 09:20:00,2011-10-02 23:15:19.164000+02:00,173955,10000,56.0,5,0,3,0,0
1950,10971.0,COMPLETE,Create loan offer,2011-10-04 09:20:50,2011-10-02 23:15:19.164000+02:00,173955,10000,56.0,5,0,3,0,0
1951,10971.0,COMPLETE,Sent loan offer to client,2011-10-04 09:20:50,2011-10-02 23:15:19.164000+02:00,173955,10000,56.0,5,0,3,0,0
1959,11029.0,COMPLETE,Receive documents from client,2011-10-17 10:19:48,2011-10-02 23:15:19.164000+02:00,173955,10000,56.0,5,0,3,0,0
2022,10972.0,COMPLETE,Approve loan request,2011-11-29 15:05:21,2011-10-02 23:15:19.164000+02:00,173955,10000,56.0,5,0,3,0,0
2074,10913.0,COMPLETE,Loan requested,2011-10-03 11:35:26,2011-10-03 08:09:57.957000+02:00,173979,30000,8.0,5,0,3,0,0
2075,10913.0,COMPLETE,Create loan offer,2011-10-03 11:35:28,2011-10-03 08:09:57.957000+02:00,173979,30000,8.0,5,0,3,0,0
2076,10913.0,COMPLETE,Sent loan offer to client,2011-10-03 11:35:28,2011-10-03 08:09:57.957000+02:00,173979,30000,8.0,5,0,3,0,0
2080,11049.0,COMPLETE,Receive documents from client,2011-10-10 10:41:34,2011-10-03 08:09:57.957000+02:00,173979,30000,8.0,5,0,3,0,0
2085,10972.0,COMPLETE,Approve loan request,2011-10-11 14:01:47,2011-10-03 08:09:57.957000+02:00,173979,30000,8.0,5,0,3,0,0
2441,11119.0,COMPLETE,Loan requested,2011-10-03 17:43:36,2011-10-03 12:02:51.303000+02:00,174036,15000,14.0,9,1,4,0,0
2442,11119.0,COMPLETE,Create loan offer,2011-10-03 17:43:38,2011-10-03 12:02:51.303000+02:00,174036,15000,14.0,9,1,4,0,0
2443,11119.0,COMPLETE,Sent loan offer to client,2011-10-03 17:43:38,2011-10-03 12:02:51.303000+02:00,174036,15000,14.0,9,1,4,0,0
2449,11049.0,COMPLETE,Receive documents from client,2011-10-13 11:34:19,2011-10-03 12:02:51.303000+02:00,174036,15000,14.0,9,1,4,0,0
2458,11009.0,COMPLETE,Loan requested,2011-10-17 11:25:56,2011-10-03 12:02:51.303000+02:00,174036,15000,14.0,9,1,4,0,0
2459,11009.0,COMPLETE,Cancel loan request,2011-10-17 11:25:56,2011-10-03 12:02:51.303000+02:00,174036,15000,14.0,9,1,4,0,0
2460,11009.0,COMPLETE,Create loan offer,2011-10-17 11:25:57,2011-10-03 12:02:51.303000+02:00,174036,15000,14.0,9,1,4,0,0
2461,11009.0,COMPLETE,Sent loan offer to client,2011-10-17 11:25:57,2011-10-03 12:02:51.303000+02:00,174036,15000,14.0,9,1,4,0,0
2486,10809.0,COMPLETE,Approve loan request,2011-10-18 11:06:51,2011-10-03 12:02:51.303000+02:00,174036,15000,14.0,9,1,4,0,0
2518,11189.0,COMPLETE,Loan requested,2011-10-10 12:12:06,2011-10-03 12:09:32.997000+02:00,174039,26000,16.0,5,0,3,0,0
2520,11189.0,COMPLETE,Create loan offer,2011-10-10 12:12:07,2011-10-03 12:09:32.997000+02:00,174039,26000,16.0,5,0,3,0,0
2521,11189.0,COMPLETE,Sent loan offer to client,2011-10-10 12:12:07,2011-10-03 12:09:32.997000+02:00,174039,26000,16.0,5,0,3,0,0
2529,11049.0,COMPLETE,Receive documents from client,2011-10-21 09:33:53,2011-10-03 12:09:32.997000+02:00,174039,26000,16.0,5,0,3,0,0
2536,10972.0,COMPLETE,Approve loan request,2011-10-27 10:01:32,2011-10-03 12:09:32.997000+02:00,174039,26000,16.0,5,0,3,0,0
2544,11202.0,COMPLETE,Loan requested,2011-10-03 12:27:15,2011-10-03 12:10:17.984000+02:00,174042,7500,8.0,5,0,3,0,0
2546,11202.0,COMPLETE,Create loan offer,2011-10-03 12:27:16,2011-10-03 12:10:17.984000+02:00,174042,7500,8.0,5,0,3,0,0
2547,11202.0,COMPLETE,Sent loan offer to client,2011-10-03 12:27:16,2011-10-03 12:10:17.984000+02:00,174042,7500,8.0,5,0,3,0,0
2555,11029.0,COMPLETE,Receive documents from client,2011-10-06 09:54:35,2011-10-03 12:10:17.984000+02:00,174042,7500,8.0,5,0,3,0,0
2576,10609.0,COMPLETE,Approve loan request,2011-10-11 16:43:10,2011-10-03 12:10:17.984000+02:00,174042,7500,8.0,5,0,3,0,0
2586,10809.0,COMPLETE,Loan requested,2011-10-03 12:18:43,2011-10-03 12:15:14.680000+02:00,174045,25000,14.0,5,0,1,0,1
2588,10809.0,COMPLETE,Create loan offer,2011-10-03 12:19:31,2011-10-03 12:15:14.680000+02:00,174045,25000,14.0,5,0,1,0,1
2589,10809.0,COMPLETE,Sent loan offer to client,2011-10-03 12:19:31,2011-10-03 12:15:14.680000+02:00,174045,25000,14.0,5,0,1,0,1
2593,10809.0,COMPLETE,Receive documents from client,2011-10-03 12:24:38,2011-10-03 12:15:14.680000+02:00,174045,25000,14.0,5,0,1,0,1
2626,10809.0,COMPLETE,Approve loan request,2011-10-18 10:10:34,2011-10-03 12:15:14.680000+02:00,174045,25000,14.0,5,0,1,0,1
2657,11201.0,COMPLETE,Loan requested,2011-10-03 14:28:02,2011-10-03 12:55:00.597000+02:00,174060,6000,70.0,25,5,5,0,0
2659,11201.0,COMPLETE,Create loan offer,2011-10-03 14:28:04,2011-10-03 12:55:00.597000+02:00,174060,6000,70.0,25,5,5,0,0
2660,11201.0,COMPLETE,Sent loan offer to client,2011-10-03 14:28:04,2011-10-03 12:55:00.597000+02:00,174060,6000,70.0,25,5,5,0,0
2666,11202.0,COMPLETE,Cancel loan request,2011-10-03 14:48:36,2011-10-03 12:55:00.597000+02:00,174060,6000,70.0,25,5,5,0,0
2667,11202.0,COMPLETE,Loan requested,2011-10-03 14:48:36,2011-10-03 12:55:00.597000+02:00,174060,6000,70.0,25,5,5,0,0
2668,11202.0,COMPLETE,Create loan offer,2011-10-03 14:48:37,2011-10-03 12:55:00.597000+02:00,174060,6000,70.0,25,5,5,0,0
2669,11202.0,COMPLETE,Sent loan offer to client,2011-10-03 14:48:37,2011-10-03 12:55:00.597000+02:00,174060,6000,70.0,25,5,5,0,0
2673,11202.0,COMPLETE,Cancel loan request,2011-10-03 14:52:32,2011-10-03 12:55:00.597000+02:00,174060,6000,70.0,25,5,5,0,0
2674,11202.0,COMPLETE,Loan requested,2011-10-03 14:52:32,2011-10-03 12:55:00.597000+02:00,174060,6000,70.0,25,5,5,0,0
2675,11202.0,COMPLETE,Create loan offer,2011-10-03 14:52:33,2011-10-03 12:55:00.597000+02:00,174060,6000,70.0,25,5,5,0,0
2676,11202.0,COMPLETE,Sent loan offer to client,2011-10-03 14:52:33,2011-10-03 12:55:00.597000+02:00,174060,6000,70.0,25,5,5,0,0
2692,11202.0,COMPLETE,Loan requested,2011-10-27 20:09:04,2011-10-03 12:55:00.597000+02:00,174060,6000,70.0,25,5,5,0,0
2693,11202.0,COMPLETE,Cancel loan request,2011-10-27 20:09:04,2011-10-03 12:55:00.597000+02:00,174060,6000,70.0,25,5,5,0,0
2694,11202.0,COMPLETE,Create loan offer,2011-10-27 20:09:06,2011-10-03 12:55:00.597000+02:00,174060,6000,70.0,25,5,5,0,0
2695,11202.0,COMPLETE,Sent loan offer to client,2011-10-27 20:09:06,2011-10-03 12:55:00.597000+02:00,174060,6000,70.0,25,5,5,0,0
2699,11202.0,COMPLETE,Cancel loan request,2011-10-27 20:13:10,2011-10-03 12:55:00.597000+02:00,174060,6000,70.0,25,5,5,0,0
2700,11202.0,COMPLETE,Loan requested,2011-10-27 20:13:10,2011-10-03 12:55:00.597000+02:00,174060,6000,70.0,25,5,5,0,0
2701,11202.0,COMPLETE,Create loan offer,2011-10-27 20:13:11,2011-10-03 12:55:00.597000+02:00,174060,6000,70.0,25,5,5,0,0
2702,11202.0,COMPLETE,Sent loan offer to client,2011-10-27 20:13:12,2011-10-03 12:55:00.597000+02:00,174060,6000,70.0,25,5,5,0,0
2726,10913.0,COMPLETE,Loan requested,2011-11-19 12:29:09,2011-10-03 12:55:00.597000+02:00,174060,6000,70.0,25,5,5,0,0
2727,10913.0,COMPLETE,Cancel loan request,2011-11-19 12:29:09,2011-10-03 12:55:00.597000+02:00,174060,6000,70.0,25,5,5,0,0
2728,10913.0,COMPLETE,Create loan offer,2011-11-19 12:29:11,2011-10-03 12:55:00.597000+02:00,174060,6000,70.0,25,5,5,0,0
2729,10913.0,COMPLETE,Sent loan offer to client,2011-11-19 12:29:11,2011-10-03 12:55:00.597000+02:00,174060,6000,70.0,25,5,5,0,0
2737,10899.0,COMPLETE,Receive documents from client,2011-11-30 14:12:04,2011-10-03 12:55:00.597000+02:00,174060,6000,70.0,25,5,5,0,0
2775,10609.0,COMPLETE,Approve loan request,2011-12-13 09:44:17,2011-10-03 12:55:00.597000+02:00,174060,6000,70.0,25,5,5,0,0
2866,11180.0,COMPLETE,Loan requested,2011-10-03 16:10:35,2011-10-03 13:23:45.900000+02:00,174078,10000,14.0,5,0,3,0,0
2868,11180.0,COMPLETE,Create loan offer,2011-10-03 16:10:36,2011-10-03 13:23:45.900000+02:00,174078,10000,14.0,5,0,3,0,0
2869,11180.0,COMPLETE,Sent loan offer to client,2011-10-03 16:10:36,2011-10-03 13:23:45.900000+02:00,174078,10000,14.0,5,0,3,0,0
2877,11029.0,COMPLETE,Receive documents from client,2011-10-13 09:16:41,2011-10-03 13:23:45.900000+02:00,174078,10000,14.0,5,0,3,0,0
2881,10972.0,COMPLETE,Approve loan request,2011-10-17 20:11:18,2011-10-03 13:23:45.900000+02:00,174078,10000,14.0,5,0,3,0,0
